ubigeo,district,provincia,region,id,area,pobreza_pct,pobreza_quintil,educ_baja_pct,nivel_educativo,pct_mujeres_18_35,poblacion_mujeres,tolerancia_social,riesgo,n_cem,n_refugios,n_otros_servicios,linea100_cobertura,acceso_telefonia_pct,n_servicios_total,acceso,prioridad,riesgo_cat,acceso_cat,semaforo,recomendacion
180106,Torata,Mariscal Nieto,Moquegua,,Urbana,26.0,Q2,12.6,Alto,52.5,86834.0,0.718,0.358,1.0,0.0,0.0,False,84.7,,0.305,0.249,Medio,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
180101,Moquegua,Mariscal Nieto,Moquegua,,Urbana,12.2,Q1,33.6,Medio,46.0,1532.0,0.344,0.188,2.0,0.0,3.0,False,81.7,,0.65,0.066,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230205,Huanuara,Candarave,Tacna,,Urbana,10.9,Q1,22.2,Alto,41.6,40745.0,0.369,0.16,1.0,0.0,2.0,True,76.3,,0.62,0.061,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210405,Pisacoma,Chucuito,Puno,,Urbana,5.8,Q1,25.5,Medio,43.7,50175.0,0.152,0.161,0.0,1.0,2.0,False,79.6,,0.496,0.081,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040702,Cocachacra,Islay,Arequipa,,Urbana,12.0,Q1,8.6,Alto,33.0,72018.0,0.093,0.141,0.0,1.0,3.0,False,76.6,,0.521,0.068,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
220705,Pucacaca,Picota,San Martin,,Urbana,20.9,Q2,21.7,Alto,51.1,82324.0,0.504,0.339,0.0,0.0,0.0,True,74.4,,0.324,0.229,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230405,Sitajara,Tarata,Tacna,,Urbana,12.4,Q1,34.0,Medio,50.0,57539.0,0.357,0.306,1.0,0.0,1.0,True,75.0,,0.495,0.155,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040703,Dean Valdivia,Islay,Arequipa,,Urbana,29.0,Q2,12.9,Alto,37.0,68325.0,0.349,0.193,1.0,0.0,0.0,False,77.2,,0.323,0.131,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180201,Omate,General Sanchez Cerro,Moquegua,,Urbana,11.1,Q1,21.0,Alto,31.6,88520.0,0.199,0.21,1.0,0.0,3.0,True,74.4,,0.704,0.062,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210504,Santa Rosa,El Collao,Puno,,Rural,59.4,Q3,43.8,Medio,43.6,5874.0,0.344,0.663,0.0,1.0,1.0,True,18.6,,0.372,0.416,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
040127,Yarabamba,Arequipa,Arequipa,,Rural,43.0,Q3,67.6,Bajo,31.2,941.0,0.512,0.662,0.0,1.0,0.0,False,34.0,,0.237,0.505,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
180103,Cuchumbaya,Mariscal Nieto,Moquegua,,Urbana,23.5,Q2,18.3,Alto,40.9,85004.0,0.233,0.357,1.0,1.0,0.0,False,76.8,,0.353,0.231,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040201,Camana,Camana,Arequipa,,Rural,47.5,Q3,45.7,Medio,45.9,2434.0,0.739,0.696,1.0,0.0,3.0,True,23.2,,0.522,0.333,Alto,,Medio,Alta tolerancia social → Priorizar campañas de sensibilización
160702,Cahuapanas,Datem Del Marañon,Loreto,,Urbana,16.9,Q1,23.9,Alto,51.0,23650.0,0.5,0.336,0.0,1.0,0.0,True,75.3,,0.383,0.207,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180102,Carumas,Mariscal Nieto,Moquegua,,Urbana,37.7,Q2,13.1,Alto,32.9,74504.0,0.272,0.346,0.0,0.0,3.0,False,74.2,,0.458,0.188,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180208,Puquina,General Sanchez Cerro,Moquegua,,Urbana,15.5,Q1,23.7,Alto,41.3,55625.0,0.247,0.268,2.0,0.0,1.0,False,80.6,,0.42,0.155,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040207,Quilca,Camana,Arequipa,,Urbana,12.0,Q1,27.4,Medio,37.2,18228.0,0.732,0.261,0.0,0.0,0.0,False,77.4,,0.213,0.205,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
210402,Desaguadero,Chucuito,Puno,,Rural,59.2,Q3,70.2,Bajo,54.1,4410.0,0.846,0.85,1.0,0.0,1.0,True,21.8,,0.367,0.538,Crítico,,Crítico,Alto riesgo con acceso bajo → Fortalecer servicios existentes
210403,Huacullani,Chucuito,Puno,,Rural,57.1,Q3,72.9,Bajo,53.0,1567.0,0.373,0.695,0.0,0.0,1.0,True,30.4,,0.292,0.492,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
040208,Samuel Pastor,Camana,Arequipa,,Rural,37.5,Q2,78.2,Muy bajo,30.5,1057.0,0.137,0.54,1.0,0.0,1.0,True,27.7,,0.415,0.316,Medio,,Medio,Mantener monitoreo y reforzar capacidades locales
040115,Quequeña,Arequipa,Arequipa,,Urbana,22.9,Q2,20.9,Alto,32.8,35201.0,0.482,0.214,0.0,0.0,1.0,True,81.5,,0.421,0.124,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
220902,Alberto Leveau,San Martin,San Martin,,Urbana,11.7,Q1,17.9,Alto,41.1,6216.0,0.195,0.253,0.0,0.0,1.0,False,75.3,,0.252,0.189,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040111,Mollebaya,Arequipa,Arequipa,,Urbana,8.2,Q1,14.6,Alto,49.1,54897.0,0.172,0.216,0.0,1.0,1.0,True,80.1,,0.521,0.103,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180203,Coalaque,General Sanchez Cerro,Moquegua,,Urbana,11.5,Q1,19.1,Alto,47.2,80068.0,0.37,0.285,0.0,0.0,0.0,True,78.1,,0.328,0.192,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040122,Socabaya,Arequipa,Arequipa,,Urbana,40.4,Q3,9.5,Alto,47.1,46822.0,0.34,0.321,0.0,1.0,1.0,True,82.5,,0.552,0.144,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040129,Jose Luis Bustamante Y Rivero,Arequipa,Arequipa,,Urbana,21.7,Q2,20.8,Alto,49.5,73782.0,0.502,0.301,0.0,0.0,1.0,True,77.3,,0.471,0.159,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040105,Characato,Arequipa,Arequipa,,Urbana,12.5,Q1,18.7,Alto,45.4,16210.0,0.42,0.254,1.0,0.0,1.0,True,83.7,,0.6,0.102,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040108,La Joya,Arequipa,Arequipa,,Urbana,23.4,Q2,12.6,Alto,37.7,70611.0,0.763,0.321,0.0,1.0,0.0,True,81.9,,0.427,0.184,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
040113,Pocsi,Arequipa,Arequipa,,Rural,66.9,Q4,42.2,Medio,48.4,3706.0,0.481,0.645,0.0,1.0,2.0,True,20.1,,0.438,0.362,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
040121,Santa Rita De Siguas,Arequipa,Arequipa,,Rural,57.6,Q3,63.8,Bajo,50.8,4587.0,0.716,0.677,1.0,1.0,2.0,True,54.3,,0.586,0.28,Alto,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
040107,Jacobo Hunter,Arequipa,Arequipa,,Rural,56.5,Q3,59.9,Bajo,43.5,946.0,0.277,0.624,1.0,1.0,0.0,True,30.8,,0.41,0.368,Alto,,Medio,Mantener monitoreo y reforzar capacidades locales
040126,Yanahuara,Arequipa,Arequipa,,Urbana,22.1,Q2,22.7,Alto,44.3,89085.0,0.232,0.274,2.0,0.0,1.0,True,74.4,,0.631,0.101,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040124,Uchumayo,Arequipa,Arequipa,,Urbana,23.3,Q2,7.6,Alto,30.9,25062.0,0.703,0.224,1.0,0.0,3.0,True,85.1,,0.667,0.075,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
040205,Nicolas De Pierola,Camana,Arequipa,,Urbana,12.7,Q1,8.8,Alto,31.8,84431.0,0.544,0.312,0.0,0.0,0.0,False,75.0,,0.144,0.267,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040116,Sabandia,Arequipa,Arequipa,,Rural,50.2,Q3,40.4,Medio,50.6,1352.0,0.265,0.615,2.0,1.0,3.0,True,20.5,,0.802,0.122,Alto,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210505,Conduriri,El Collao,Puno,,Urbana,31.0,Q2,14.2,Alto,34.2,77536.0,0.421,0.266,0.0,1.0,1.0,True,75.3,,0.471,0.141,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210407,Zepita,Chucuito,Puno,,Urbana,18.2,Q1,25.2,Medio,44.9,47251.0,0.719,0.285,1.0,1.0,2.0,True,88.2,,0.692,0.088,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
210107,Coata,Puno,Puno,,Rural,65.1,Q4,58.6,Bajo,34.2,4139.0,0.316,0.703,0.0,0.0,2.0,False,19.3,,0.152,0.596,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
120201,Concepcion,Concepcion,Junin,,Urbana,16.2,Q1,30.8,Medio,27.1,27510.0,0.611,0.211,1.0,0.0,1.0,True,76.3,,0.43,0.12,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
150709,Huarochiri,Huarochiri,Lima,,Urbana,29.5,Q2,20.7,Alto,25.9,2939.0,0.388,0.266,1.0,1.0,0.0,True,75.5,,0.504,0.132,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040123,Tiabaya,Arequipa,Arequipa,,Urbana,23.1,Q2,21.1,Alto,47.1,37684.0,0.421,0.258,0.0,0.0,3.0,False,81.9,,0.501,0.129,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180202,Chojata,General Sanchez Cerro,Moquegua,,Urbana,18.9,Q1,17.5,Alto,36.5,5453.0,0.226,0.213,0.0,0.0,2.0,False,79.1,,0.369,0.134,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040204,Mariscal Caceres,Camana,Arequipa,,Urbana,14.0,Q1,11.3,Alto,39.1,34109.0,0.343,0.224,3.0,2.0,1.0,False,79.8,,0.65,0.078,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040410,Pampacolca,Castilla,Arequipa,,Urbana,6.2,Q1,16.0,Alto,41.9,41028.0,0.438,0.151,0.0,0.0,1.0,False,72.4,,0.265,0.111,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040117,Sachaca,Arequipa,Arequipa,,Urbana,18.1,Q1,24.7,Alto,51.2,47933.0,0.475,0.206,0.0,0.0,1.0,True,84.3,,0.396,0.124,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040112,Paucarpata,Arequipa,Arequipa,,Urbana,8.3,Q1,13.5,Alto,43.6,43921.0,0.559,0.183,2.0,1.0,3.0,True,77.4,,0.826,0.032,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
211104,Caracoto,San Roman,Puno,,Rural,37.8,Q2,46.1,Medio,23.2,5194.0,0.808,0.64,1.0,1.0,0.0,True,22.6,,0.38,0.397,Alto,,Medio,Alto riesgo con acceso bajo → Fortalecer servicios existentes
040118,San Juan De Siguas,Arequipa,Arequipa,,Urbana,9.8,Q1,17.6,Alto,31.4,40883.0,0.256,0.193,0.0,0.0,3.0,False,71.0,,0.43,0.11,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040101,Arequipa,Arequipa,Arequipa,,Urbana,16.3,Q1,13.8,Alto,47.0,83581.0,0.543,0.239,1.0,0.0,0.0,True,82.6,,0.449,0.132,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
211303,Copani,Yunguyo,Puno,,Urbana,18.2,Q1,22.8,Alto,43.7,18941.0,0.336,0.348,0.0,1.0,2.0,False,69.7,,0.463,0.187,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
211103,Cabanillas,San Roman,Puno,,Rural,71.5,Q4,72.1,Bajo,40.2,4738.0,0.323,0.788,0.0,1.0,1.0,True,56.8,,0.462,0.424,Crítico,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
210104,Atuncolla,Puno,Puno,,Urbana,24.1,Q2,10.6,Alto,47.0,6326.0,0.255,0.283,0.0,0.0,2.0,True,79.7,,0.497,0.142,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040519,Yanque,Caylloma,Arequipa,,Urbana,23.4,Q2,23.8,Alto,47.7,57549.0,0.617,0.281,0.0,1.0,0.0,True,80.1,,0.453,0.154,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
040601,Chuquibamba,Condesuyos,Arequipa,,Rural,45.5,Q3,54.6,Bajo,28.1,4053.0,0.484,0.653,0.0,0.0,1.0,False,20.1,,0.085,0.597,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
040507,Huambo,Caylloma,Arequipa,,Rural,62.4,Q4,43.8,Medio,25.7,5061.0,0.448,0.632,0.0,0.0,3.0,True,39.4,,0.507,0.312,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
040503,Cabanaconde,Caylloma,Arequipa,,Urbana,18.6,Q1,25.1,Medio,48.0,87687.0,0.173,0.204,0.0,2.0,1.0,False,86.0,,0.511,0.1,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040514,San Antonio De Chuca,Caylloma,Arequipa,,Rural,75.4,Q4,58.4,Bajo,50.3,1002.0,0.457,0.736,0.0,0.0,0.0,True,21.7,,0.183,0.601,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
020607,Pariahuanca,Carhuaz,Ancash,,Urbana,17.6,Q1,29.5,Medio,32.0,41234.0,0.19,0.167,0.0,0.0,0.0,True,80.0,,0.332,0.112,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
021007,Huachis,Huari,Ancash,,Urbana,15.7,Q1,32.2,Medio,46.3,5794.0,0.12,0.203,0.0,0.0,2.0,True,81.6,,0.581,0.085,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040106,Chiguata,Arequipa,Arequipa,,Urbana,15.4,Q1,20.4,Alto,30.2,19981.0,0.385,0.158,0.0,0.0,0.0,False,86.2,,0.222,0.123,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
211301,Yunguyo,Yunguyo,Puno,,Urbana,33.0,Q2,22.3,Alto,29.4,76693.0,0.091,0.275,0.0,2.0,0.0,False,70.7,,0.351,0.178,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
